abbr;mean;sd;n;se;left95;right95;signcol;col;signlvl;taxon;signpos
agro_capi;214.2647783;256.1940763;58;33.63993028;180.624848;247.9047086;signif;black;**;Agrostis capillaris (28/58);-267
anth_odor;-124.2375257;295.0949804;118;27.16569488;-151.4032206;-97.07183086;signif;black;*;Anthoxanthum odoratum (107/118);-267
anth_vuln;110.3978678;377.7991211;67;46.15550871;64.2423591;156.5533765;ns;grey60;NA;Anthyllis vulneraria (70/67);-267
arrh_elat;-43.15949821;216.9343739;31;38.96256374;-82.12206195;-4.196934463;ns;grey60;NA;Arrhenatherum elatius (36/31);-267
bisc_laev;27.75034314;298.2751132;79;33.5585721;-5.808228959;61.30891525;ns;grey60;NA;Biscutella laevigata (83/79);-267
brac_pinn;41.73717949;131.1493081;13;36.37427348;5.362906007;78.11145297;ns;grey60;NA;Brachypodium pinnatum (12/13);-267
brac_sylv;20.5;50.09779325;10;15.84231324;4.657686757;36.34231324;signif;black;*;Brachypodium sylvaticum (20/10);-267
briz_medi;75.54978806;352.6848319;119;32.33056553;43.21922252;107.8803536;ns;grey60;NA;Briza media (113/119);-267
cala_alpi;65.57122668;331.6317819;61;42.46109865;23.11012803;108.0323253;ns;grey60;NA;Acinos alpinus (58/61);-267
cala_vari;-83.68930856;267.0067979;49;38.14382827;-121.8331368;-45.54548029;ns;grey60;NA;Calamagrostis varia (67/49);-267
card_defl;29.8362069;323.4402867;64;40.43003583;-10.59382894;70.26624273;ns;grey60;NA;Carduus defloratus (58/64);-267
care_cary;36.12318402;265.0552105;56;35.41949237;0.703691653;71.54267639;ns;grey60;NA;Carex caryophyllea (59/56);-267
care_digi;-181.5714286;265.55391;14;70.97226778;-252.5436964;-110.5991608;signif;black;*;Carex digitata (48/14);-267
care_ferr;153.9824196;257.6723697;99;25.89704755;128.0853721;179.8794672;signif;black;***;Carex ferruginea (131/99);-267
care_firm;-21.62289628;429.5883313;70;51.34562638;-72.96852266;29.7227301;ns;grey60;NA;Carex firma (73/70);-267
care_flac;24.55909091;225.0394602;110;21.45667064;3.102420272;46.01576155;ns;grey60;NA;Carex flacca (120/110);-267
care_flav;-65.59090909;238.8837547;30;43.61400703;-109.2049161;-21.97690206;ns;grey60;NA;Carex flava (22/30);-267
care_fusc;22.15909091;153.1258741;16;38.28146854;-16.12237763;60.44055945;ns;grey60;NA;Carex fusca (22/16);-267
care_mont;1.630952381;98.74251026;12;28.50450744;-26.87355506;30.13545982;ns;grey60;NA;Carex montana (14/12);-267
care_mucr;-62.80538302;234.7926542;21;51.23595765;-114.0413407;-11.56942538;ns;grey60;NA;Carex mucronata (23/21);-267
care_orni;-96.93733238;364.3526453;119;33.40015224;-130.3374846;-63.53718014;ns;grey60;NA;Carex ornithopoda (94/119);-267
care_oval;148.3;159.8459973;15;41.27205904;107.027941;189.572059;signif;black;*;Carex ovalis (10/15);-267
care_pall;86.97587719;327.5541182;48;47.27836458;39.69751261;134.2542418;ns;grey60;NA;Carex pallescens (57/48);-267
care_pani;67.4057971;218.7531768;64;27.34414711;40.06165;94.74994421;ns;grey60;NA;Carex panicea (69/64);-267
care_semp;-32.8982739;354.1664853;113;33.31718036;-66.21545426;0.418906466;ns;grey60;NA;Carex sempervirens (101/113);-267
care_sylv;0.126406926;232.6834605;66;28.64135407;-28.51494715;28.767761;ns;grey60;NA;Carex sylvatica (70/66);-267
caru_carv;-12.72222222;163.0173113;18;38.42354876;-51.14577098;25.70132654;ns;grey60;NA;Carum carvi (18/18);-267
cyno_cris;-33.72370821;252.3635769;70;30.16321671;-63.88692491;-3.5604915;ns;grey60;NA;Cynosurus cristatus (47/70);-267
dact_glom;58.41061374;301.2335821;128;26.62553858;31.78507516;85.03615232;ns;grey60;NA;Dactylis glomerata (111/128);-267
desc_cesp;58.56296852;311.7433859;46;45.96405463;12.59891388;104.5270231;ns;grey60;NA;Deschampsia cespitosa (58/46);-267
drya_octo;-19.9227318;448.6296858;59;58.40661023;-78.32934203;38.48387842;ns;grey60;NA;Dryas octopetala (68/59);-267
eric_carn;-11.77142857;292.3045292;35;49.40848331;-61.17991188;37.63705474;ns;grey60;NA;Erica carnea (42/35);-267
fest_nigr;-114.4482759;249.0306181;29;46.24382485;-160.6921007;-68.20445101;ns;grey60;NA;Festuca nigrescens (29/29);-267
fest_nori;30.28571429;110.0013986;14;29.3991104;0.886603886;59.68482469;ns;grey60;NA;Festuca norica (14/14);-267
fest_prat;18.68207856;280.5047761;94;28.93185858;-10.24978002;47.61393714;ns;grey60;NA;Festuca pratensis (104/94);-267
fest_quad;0.332317073;126.4626909;41;19.75015418;-19.41783711;20.08247125;ns;grey60;NA;Festuca quadriflora (40/41);-267
fest_rubr;4.274439776;314.5148402;136;26.96942505;-22.69498527;31.24386482;ns;grey60;NA;Festuca rubra (105/136);-267
frag_vesc;-13.82223265;304.5008711;41;47.55504653;-61.37727918;33.73281389;ns;grey60;NA;Fragaria vesca (52/41);-267
gera_sylv;-4.376838235;214.5037573;32;37.91926534;-42.29610358;33.54242711;ns;grey60;NA;Geranium sylvaticum (34/32);-267
glob_cord;8.24047619;250.8317402;21;54.73597316;-46.49549697;62.97644935;ns;grey60;NA;Globularia cordifolia (20/21);-267
heli_alpe;-130.5;339.8413846;13;94.25504135;-224.7550414;-36.24495865;ns;grey60;NA;Helianthemum alpestre (14/13);-267
heli_numm;21.86509391;363.3783258;74;42.24187235;-20.37677844;64.10696625;ns;grey60;NA;Helianthemum nummularium (59/74);-267
hipp_como;45.49292149;321.0428094;42;49.53798098;-4.045059482;95.03090247;ns;grey60;NA;Hippocrepis comosa (37/42);-267
holc_lana;59.01086957;201.5776903;23;42.03185398;16.97901559;101.0427235;ns;grey60;NA;Holcus lanatus (16/23);-267
lath_prat;24.98412698;110.3302186;21;24.07602754;0.908099445;49.06015452;ns;grey60;NA;Lathyrus pratensis (27/21);-267
lotu_corn;65.54097519;403.5309578;167;31.22616302;34.31481217;96.76713821;ns;grey60;NA;Lotus corniculatus (175/167);-267
nard_stri;-40.68181818;240.9181212;22;51.36391602;-92.04573421;10.68209784;ns;grey60;NA;Nardus stricta (22/22);-267
orig_vulg;-28.94168734;202.7417659;31;36.4134961;-65.35518345;7.47180876;ns;grey60;NA;Origanum vulgare (26/31);-267
phle_prat;-38.48529412;222.2595694;17;53.90586358;-92.3911577;15.42056946;ns;grey60;NA;Phleum pratense (16/17);-267
plan_lanc;25.63432181;261.6346361;139;22.1915602;3.442761611;47.82588201;ns;grey60;NA;Plantago lanceolata (123/139);-267
plan_medi;-4.78964891;215.6227699;56;28.81380463;-33.60345354;24.02415572;ns;grey60;NA;Plantago media (59/56);-267
poa_alpi;-35.21934968;305.0788268;56;40.76787307;-75.98722275;5.548523391;ns;grey60;NA;Poa alpina (67/56);-267
poa_annu;145.7777778;195.4956914;18;46.07877636;99.69900142;191.8565541;signif;black;*;Poa annua (12/18);-267
poa_prat;45.11280488;247.4172653;48;35.71160619;9.401198691;80.82441107;ns;grey60;NA;Poa pratensis (41/48);-267
poa_triv;-30.6204955;226.1773534;37;37.18332785;-67.80382335;6.562832356;ns;grey60;NA;Poa trivialis (24/37);-267
pote_aure;32.17298851;237.3140052;58;31.1608555;1.01213301;63.333844;ns;grey60;NA;Potentilla aurea (60/58);-267
pote_erec;15.54259574;306.4977922;146;25.36593776;-9.823342023;40.9085335;ns;grey60;NA;Potentilla erecta (137/146);-267
prim_elat;52.49428571;242.4224137;25;48.48448274;4.009802973;100.9787685;ns;grey60;NA;Primula elatior (28/25);-267
rume_acet;-48.78214286;187.7580122;40;29.68714838;-78.46929124;-19.09499448;ns;grey60;NA;Rumex acetosa (28/40);-267
sesl_albi;-40.86860776;418.4672353;166;32.47935647;-73.34796423;-8.389251298;ns;grey60;NA;Sesleria albicans (180/166);-267
thym_prae;17.26863208;323.4288682;80;36.16044675;-18.89181468;53.42907883;ns;grey60;NA;Thymus praecox (53/80);-267
thym_pule;-86.39460784;259.6085855;17;62.96433054;-149.3589384;-23.4302773;ns;grey60;NA;Thymus pulegioides (24/17);-267
trif_prat;40.13217768;376.8343411;156;30.17089366;9.96128402;70.30307134;ns;grey60;NA;Trifolium pratense (142/156);-267
trif_repe;28.22593583;229.9476536;68;27.88524895;0.340686883;56.11118478;ns;grey60;NA;Trifolium repens (66/68);-267
vacc_myrt;-27.32037736;278.0504896;53;38.19317205;-65.51354941;10.87279469;ns;grey60;NA;Vaccinium myrtillus (50/53);-267
vacc_viti;49.60869565;211.3169026;13;58.60876367;-9.000068023;108.2174593;ns;grey60;NA;Vaccinium vitis-idaea (23/13);-267
vale_saxa;-14.54903475;308.1893939;35;52.09351551;-66.64255025;37.54448076;ns;grey60;NA;Valeriana saxatilis (37/35);-267
vero_cham;-19.20733333;316.6852427;125;28.32518921;-47.53252254;9.117855876;ns;grey60;NA;Veronica chamaedrys (132/125);-267
vici_crac;-31.64615385;92.97526553;10;29.40136051;-61.04751436;-2.244793333;ns;grey60;NA;Vicia cracca (13/10);-267
viol_bifl;41.77569392;276.5444273;86;29.8205525;11.95514142;71.59624643;ns;grey60;NA;Viola biflora (93/86);-267
