abbr;elev;year
briz_medi;818;2009
care_cary;818;2009
care_flac;818;2009
care_pani;818;2009
fest_prat;818;2009
lotu_corn;818;2009
plan_lanc;818;2009
plan_medi;818;2009
pote_erec;818;2009
trif_repe;818;2009
briz_medi;818;2009
care_cary;818;2009
care_flac;818;2009
care_orni;818;2009
care_pani;818;2009
dact_glom;818;2009
fest_prat;818;2009
fest_rubr;818;2009
lotu_corn;818;2009
plan_lanc;818;2009
plan_medi;818;2009
poa_prat;818;2009
pote_erec;818;2009
trif_prat;818;2009
trif_repe;818;2009
agro_capi;818;2009
anth_odor;818;2009
briz_medi;818;2009
care_cary;818;2009
care_ferr;818;2009
care_flac;818;2009
care_orni;818;2009
care_pani;818;2009
care_semp;818;2009
care_sylv;818;2009
caru_carv;818;2009
desc_cesp;818;2009
eric_carn;818;2009
fest_nigr;818;2009
fest_prat;818;2009
fest_rubr;818;2009
lotu_corn;818;2009
plan_lanc;818;2009
pote_erec;818;2009
sesl_albi;818;2009
thym_prae;818;2009
trif_prat;818;2009
vero_cham;818;2009
agro_capi;818;2009
anth_odor;818;2009
arrh_elat;818;2009
briz_medi;818;2009
care_cary;818;2009
care_flac;818;2009
care_orni;818;2009
care_pani;818;2009
care_sylv;818;2009
dact_glom;818;2009
fest_prat;818;2009
fest_rubr;818;2009
lotu_corn;818;2009
plan_medi;818;2009
pote_erec;818;2009
trif_prat;818;2009
trif_repe;818;2009
brac_sylv;818;2009
briz_medi;818;2009
care_flac;818;2009
care_pani;818;2009
desc_cesp;818;2009
fest_prat;818;2009
lath_prat;818;2009
lotu_corn;818;2009
plan_lanc;818;2009
plan_medi;818;2009
pote_erec;818;2009
sesl_albi;818;2009
thym_prae;818;2009
trif_prat;818;2009
trif_repe;818;2009
briz_medi;818;2009
care_cary;818;2009
care_flac;818;2009
care_flav;818;2009
care_orni;818;2009
care_pani;818;2009
desc_cesp;818;2009
fest_prat;818;2009
fest_rubr;818;2009
lotu_corn;818;2009
plan_lanc;818;2009
plan_medi;818;2009
poa_prat;818;2009
pote_erec;818;2009
sesl_albi;818;2009
trif_prat;818;2009
trif_repe;818;2009
briz_medi;818;2009
care_cary;818;2009
care_ferr;818;2009
care_flac;818;2009
care_orni;818;2009
care_pani;818;2009
desc_cesp;818;2009
fest_prat;818;2009
lotu_corn;818;2009
plan_lanc;818;2009
poa_prat;818;2009
pote_erec;818;2009
thym_prae;818;2009
trif_prat;818;2009
trif_repe;818;2009
briz_medi;818;2009
care_cary;818;2009
care_flac;818;2009
care_flav;818;2009
care_pani;818;2009
desc_cesp;818;2009
fest_prat;818;2009
lotu_corn;818;2009
plan_lanc;818;2009
pote_erec;818;2009
trif_prat;818;2009
agro_capi;818;2009
bisc_laev;818;2009
briz_medi;818;2009
cala_vari;818;2009
care_cary;818;2009
care_flac;818;2009
care_orni;818;2009
care_pani;818;2009
desc_cesp;818;2009
fest_nigr;818;2009
fest_prat;818;2009
fest_rubr;818;2009
frag_vesc;818;2009
lotu_corn;818;2009
phle_prat;818;2009
plan_lanc;818;2009
prim_elat;818;2009
thym_prae;818;2009
brac_sylv;818;2009
briz_medi;818;2009
care_cary;818;2009
care_flac;818;2009
care_orni;818;2009
care_pani;818;2009
care_sylv;818;2009
dact_glom;818;2009
eric_carn;818;2009
fest_prat;818;2009
frag_vesc;818;2009
lotu_corn;818;2009
plan_lanc;818;2009
pote_erec;818;2009
sesl_albi;818;2009
thym_prae;818;2009
trif_prat;818;2009
trif_repe;818;2009
anth_vuln;985;2009
cala_alpi;985;2009
card_defl;985;2009
care_cary;985;2009
fest_prat;985;2009
fest_rubr;985;2009
plan_lanc;985;2009
plan_medi;985;2009
pote_erec;985;2009
trif_prat;985;2009
anth_vuln;985;2009
cala_alpi;985;2009
card_defl;985;2009
care_cary;985;2009
care_flac;985;2009
care_pani;985;2009
care_sylv;985;2009
cyno_cris;985;2009
fest_prat;985;2009
fest_rubr;985;2009
hipp_como;985;2009
