"","no.sb","mean","no.species","n.s.","cs","s","ss","sss","meansig"
"1",5,-1.79083410086286,85,69,4,8,2,2,-6.47168712195338
"2",6,-5.17503575924392,79,65,4,7,1,2,-35.9514790917986
"3",7,4.6222529294576,76,63,4,6,1,2,42.3263988927106
"4",8,7.13047145090533,73,62,3,6,1,1,56.2936693425347
"5",9,8.28627468834663,71,60,3,6,1,1,56.2936693425347
"6",10,7.35703099341825,70,60,3,5,1,1,53.8594316295634
"7",11,5.63937796097659,67,59,3,3,1,1,41.6432042813888
"8",12,5.63937796097659,67,59,3,3,1,1,41.6432042813888
"9",13,2.94831896468002,64,57,3,2,1,1,15.6095609072916
"10",14,4.3481244852798,62,55,3,2,1,1,15.6095609072916
"11",15,7.01449053955103,60,54,3,1,1,1,81.3365574001983
"12",16,7.01449053955103,60,54,3,1,1,1,81.3365574001983
"13",17,6.63482045642808,57,51,3,1,1,1,81.3365574001983
"14",18,8.29606024749175,56,50,3,1,1,1,81.3365574001983
"15",19,8.67821083785018,55,49,3,1,1,1,81.3365574001983
"16",20,8.67821083785018,55,49,3,1,1,1,81.3365574001983
"17",21,8.68631703502378,54,48,3,1,1,1,81.3365574001983
"18",22,9.74773799865252,52,46,3,1,1,1,81.3365574001983
"19",23,12.2631020640532,50,44,3,1,1,1,81.3365574001983
"20",24,12.2631020640532,50,44,3,1,1,1,81.3365574001983
"21",25,13.1382775244521,49,43,3,1,1,1,81.3365574001983
"22",26,12.3183606871639,48,42,3,1,1,1,81.3365574001983
"23",27,13.1962340495485,47,41,3,1,1,1,81.3365574001983
"24",28,13.1962340495485,47,41,3,1,1,1,81.3365574001983
"25",29,10.1053414413511,45,40,3,1,0,1,14.872446937736
"26",30,12.9361054709743,44,39,3,1,0,1,14.872446937736
