"","plot","elev","slope_deg","exp","transect","management","elev.level","forest_500","temps09","temps19","tempw09","tempw19","tempy09","tempy19","year","spec.no","flow_cov","cov","cov_bare","cov_dung","cov_hl","cov_scree","cov_sl","hght_hl","hght_sl","chao","ab","ACE","comsc"
"1","H1",818,"2",15,"H","W","500","84.67",14.2468816044314,14.0887910660131,3.20312195025943,4.13085488948113,7.83242394228219,8.30500347854795,"2009",25,1.61,95.9,2.7,1.2,92.6,0,0,0.1365,0,40.125,125,30.775,1146.81750641037
"2","H2",985,"26.2",44,"H","W","500","81.84",13.6632264934248,13.6624760908497,2.75179097074528,3.71110171033019,7.32562558710137,7.88249973832877,"2009",27,4.02,95.4,4.1,0.2,91.2,0,0,0.139,0,33.125,169,29.1818181818182,1077.56640787052
"3","H3",1106,"27.6",33,"H","W","1000","73.85",13.1602506827386,13.2834442048366,2.34620307209434,3.3346099990566,6.87921481025479,7.50494324147945,"2009",17,2.42,96.2,3.6,0,85,0,0,0.153,0,23.125,81,22,1278.30137231273
"4","H4",1326,"13",65,"H","W","1000","89.80",12.2645261216797,12.5705616732026,1.57691454103774,2.61667773028302,6.05692706662192,6.78912771183562,"2009",23,2.22,93.2,0.5,0,89.1,0,0,0.2135,0,26.6,175,25.0769230769231,1369.76083635523
"5","H5",1580,"21.4",58,"H","N","1500","95.41",11.1348448317974,11.596511672549,0.52456739320283,1.61967516146226,4.97216314143562,5.80174635652055,"2009",14,4.39,95.8,0.4,0,90.8,0,0,0.132,0,16,304,14.6666666666667,1448.94445729743
"6","H6",1807,"27.3",98,"H","N","1500","45.57",9.83592887153595,10.3823055555556,-0.771621323872641,0.361727963584906,3.67483122379178,4.5621344610411,"2009",14,1.17,85.3,4.8,0,77.3,0,0.8,0.1225,0.15,16.6666666666667,229,15.5,1494.82024545923
"7","H7",1986,"31.4",69,"H","N","1500","3.04",8.79615626579739,9.35142271568627,-1.85294524065566,-0.713647021698113,2.61092470588493,3.50540960794521,"2009",10,1.02,87.2,2.9,0,83.6,5.2,0,0.0605,0,10,100,10.2162162162162,1561.89652647313
"8","HO1",828,"20.6",51,"HO","W","500","82.59",14.2148617734902,14.0656358973856,3.1787746465,4.10812935216981,7.80486048329315,8.28209784920548,"2009",28,4.07,94.7,2.4,0,90.6,0,0,0.3025,0,43.125,98,32.0135135135135,1013.22886179545
"9","HO2",1046,"9.4",131,"HO","W","1000","91.96",13.4075309220261,13.4714821254902,2.54781460049057,3.52183139193396,7.09996966129863,7.69250690490411,"2009",12,1.73,98.5,0.9,0,97.4,0,0,0.25,0,16.5,65,13.0384615384615,1323.99000836195
"10","HO3",1332,"8.4",82,"HO","N","1000","71.61",12.2424931519085,12.5523637078431,1.55722307285849,2.59819702661321,6.03625409229589,6.77076552586849,"2009",19,2.8,99.4,0.3,0,97,0,30.7,0.41,1.37,23,158,20.3333333333333,1375.74921383428
"11","HO4",1546,"26.7",120,"HO","N","1500","31.93",11.2806465750261,11.7267922454248,0.664897928316038,1.75380954026887,5.11478708707397,5.93426530434794,"2009",17,2.14,94.4,2.5,0,90.1,0,0,0.2025,0,18.5,214,17.7659574468085,1453.90108990858
