;plot;elev;temps09;temps19;tempy09;tempy19;year;spec.no;flow_cov;ab;ACE;comsc
1;H1;818;14.2468816;14.08879107;7.832423942;8.305003479;2009;25;1.61;125;30.775;1146.817506
2;H2;985;13.66322649;13.66247609;7.325625587;7.882499738;2009;27;4.02;169;29.18181818;1077.566408
3;H3;1106;13.16025068;13.2834442;6.87921481;7.504943241;2009;17;2.42;81;22;1278.301372
4;H4;1326;12.26452612;12.57056167;6.056927067;6.789127712;2009;23;2.22;175;25.07692308;1369.760836
5;H5;1580;11.13484483;11.59651167;4.972163141;5.801746357;2009;14;4.39;304;14.66666667;1448.944457
6;H6;1807;9.835928872;10.38230556;3.674831224;4.562134461;2009;14;1.17;229;15.5;1494.820245
7;H7;1986;8.796156266;9.351422716;2.610924706;3.505409608;2009;10;1.02;100;10.21621622;1561.896526
8;HO1;828;14.21486177;14.0656359;7.804860483;8.282097849;2009;28;4.07;98;32.01351351;1013.228862
9;HO2;1046;13.40753092;13.47148213;7.099969661;7.692506905;2009;12;1.73;65;13.03846154;1323.990008
10;HO3;1332;12.24249315;12.55236371;6.036254092;6.770765526;2009;19;2.8;158;20.33333333;1375.749214
11;HO4;1546;11.28064658;11.72679225;5.114787087;5.934265304;2009;17;2.14;214;17.76595745;1453.90109
12;HO5;1821;9.742978677;10.29204977;3.580471158;4.469738177;2009;9;1.09;39;12.11111111;1461.868307
13;T1;716;14.65581665;14.3833298;8.18292844;8.596112568;2009;15;10.44;112;15.22807018;1041.330062
14;T3;663;14.80289221;14.48894722;8.308587795;8.700433669;2009;22;2.08;119;23.26666667;911.7669815
15;T4;644;14.91488713;14.56935308;8.40424909;8.779848286;2009;21;2.87;153;21.86363636;976.6524806
16;T5;749;14.48024405;14.25709307;8.032724036;8.471392399;2009;21;1.68;164;23.73913043;936.4704586
17;W1;815;14.26109527;14.09906503;7.844652418;8.315165029;2009;16;0.77;164;18;1295.775377
18;W2;1016;13.59991636;13.6154827;7.269987216;7.835799238;2009;27;1.19;220;31;1217.343981
19;W3;1162;12.95386767;13.12373081;6.692941764;7.345217141;2009;15;2.27;127;17;1296.191189
20;W4;1235;12.6547226;12.88749246;6.419545993;7.108254412;2009;10;0.84;94;11.84615385;1361.853568
21;W5;1446;11.71270064;12.10506907;5.53310756;6.31831825;2009;12;0.57;91;12.5;1441.113534
22;W6;1805;9.905178907;10.44928105;3.745020835;4.630681157;2009;20;1.62;241;20.82352941;1462.229896
23;W7;2017;8.564739077;9.116163047;2.372020184;3.263899006;2009;16;0.74;168;18.30769231;1544.802498
24;WmA1;768;14.39211533;14.19361854;7.95718912;8.408657483;2009;20;2.2;105;21.77777778;1032.897377
25;WmA2;1240;12.65054236;12.88415013;6.415696854;7.104896004;2009;19;2.33;136;20.66666667;1325.473128
26;WmA3;1423;11.78796745;12.16974584;5.605277392;6.383862073;2009;17;1.93;206;20.75;1471.504329
27;WmA4;1770;9.991174836;10.53213043;3.832047049;4.715451238;2009;12;1.09;170;12.24242424;1521.446461
28;WmA5;2034;8.451160221;9.000004186;2.254539731;3.144615065;2009;5;0.41;47;5;1420.664535
29;WmB1;962;13.71508065;13.70083172;7.371087036;7.92059526;2009;19;1.98;104;21.5;1145.919316
