;plot;elev;temps09;temps19;tempy09;tempy19;div09;div19;flow_cov09;flow_cov19;ab09;ab19;ACE09;ACE19;det.rate09;det.rate19;comsc09;comsc19
1;H1;818;14.2468816;14.08879107;7.832423942;8.305003479;25;19;1.61;2.104166667;125;53;30.775;22.37777778;81.23476848;84.90566038;1146.817506;1071.218029
2;H2;985;13.66322649;13.66247609;7.325625587;7.882499738;27;25;4.02;3.046875;169;82;29.18181818;29.47457627;92.52336449;84.81886141;1077.566408;1052.671949
3;H3;1106;13.16025068;13.2834442;6.87921481;7.504943241;17;21;2.42;2.675;81;70;22;23.55319149;77.27272727;89.1598916;1278.301372;1244.324644
4;H4;1326;12.26452612;12.57056167;6.056927067;6.789127712;23;28;2.22;4.0125;175;85;25.07692308;32.71428571;91.71779141;85.58951965;1369.760836;1294.965869
5;H5;1580;11.13484483;11.59651167;4.972163141;5.801746357;14;24;4.39;6.60625;304;112;14.66666667;30.13953488;95.45454545;79.62962963;1448.944457;1378.578662
6;H6;1807;9.835928872;10.38230556;3.674831224;4.562134461;14;14;1.17;1.7125;229;155;15.5;15.76;90.32258065;88.83248731;1494.820245;1594.571444
7;H7;1986;8.796156266;9.351422716;2.610924706;3.505409608;10;9;1.02;1.55625;100;45;10.21621622;9.258064516;97.88359788;97.21254355;1561.896526;1526.759788
8;HO1;828;14.21486177;14.0656359;7.804860483;8.282097849;28;15;4.07;1.421875;98;49;32.01351351;17.625;87.46306458;85.10638298;1013.228862;991.4345113
9;HO2;1046;13.40753092;13.47148213;7.099969661;7.692506905;12;16;1.73;3.802083333;65;64;13.03846154;19.5;92.03539823;82.05128205;1323.990008;1138.956706
10;HO3;1332;12.24249315;12.55236371;6.036254092;6.770765526;19;23;2.8;12.10625;158;121;20.33333333;26.57446809;93.44262295;86.54923939;1375.749214;1304.388211
11;HO4;1546;11.28064658;11.72679225;5.114787087;5.934265304;17;17;2.14;2.9625;214;171;17.76595745;18.42857143;95.68862275;92.24806202;1453.90109;1438.288503
12;HO5;1821;9.742978677;10.29204977;3.580471158;4.469738177;9;10;1.09;1.95;39;43;12.11111111;10.96428571;74.31192661;91.20521173;1461.868307;1511.243946
13;T1;716;14.65581665;14.3833298;8.18292844;8.596112568;15;16;10.44;7.9375;112;103;15.22807018;18.15384615;98.50230415;88.13559322;1041.330062;863.6541144
14;T3;663;14.80289221;14.48894722;8.308587795;8.700433669;22;13;2.08;2.088541667;119;54;23.26666667;13.97297297;94.55587393;93.03675048;911.7669815;878.5653322
