abbr;mean;left95;right95;signcol;col;signlvl;taxon;signpos
agro_capi;214.2647784;143.2101103;285.3194464;signif;black;**;Agrostis capillaris (28/58);-267
anth_odor;-124.2375257;-165.4562711;-83.0187804;signif;black;**;Anthoxanthum odoratum (107/118);-267
anth_vuln;110.3978678;57.62505245;163.1706832;signif;black;*;Anthyllis vulneraria (70/67);-267
arrh_elat;-43.15949821;-118.8152072;32.4962108;ns;grey80;NA;Arrhenatherum elatius (36/31);-267
bisc_laev;27.75034315;-20.78312393;76.28381022;ns;grey80;NA;Biscutella laevigata (83/79);-267
brac_pinn;41.73717949;-81.87011671;165.3444757;ns;grey80;NA;Brachypodium pinnatum (12/13);-267
brac_sylv;20.49999998;-99.0864658;140.0864658;ns;grey80;NA;Brachypodium sylvaticum (20/10);-267
briz_medi;75.54978806;34.99261354;116.1069626;ns;grey80;NA;Briza media (113/119);-267
cala_alpi;65.57122668;8.943259988;122.1991934;ns;grey80;NA;Acinos alpinus (58/61);-267
cala_vari;-83.68930856;-141.7296495;-25.64896763;ns;grey80;NA;Calamagrostis varia (67/49);-267
card_defl;29.8362069;-26.14114288;85.81355667;ns;grey80;NA;Carduus defloratus (58/64);-267
care_cary;36.12318402;-21.4824953;93.72886333;ns;grey80;NA;Carex caryophyllea (59/56);-267
care_digi;-181.5714286;-275.3595009;-87.78335623;ns;grey80;NA;Carex digitata (48/14);-267
care_ferr;153.9824196;112.8629907;195.1018485;signif;black;***;Carex ferruginea (131/99);-267
care_firm;-21.62289628;-73.27570835;30.02991578;ns;grey80;NA;Carex firma (73/70);-267
care_flac;24.55909091;-16.19895498;65.3171368;ns;grey80;NA;Carex flacca (120/110);-267
care_flav;-65.59090909;-152.2603721;21.07855389;ns;grey80;NA;Carex flava (22/30);-267
care_fusc;22.15909091;-79.29203427;123.6102161;ns;grey80;NA;Carex fusca (22/16);-267
care_mont;1.63095238;-119.8388807;123.1007855;ns;grey80;NA;Carex montana (14/12);-267
care_mucr;-62.80538302;-155.9996452;30.38887917;ns;grey80;NA;Carex mucronata (23/21);-267
care_orni;-96.93733238;-139.5451015;-54.32956326;signif;black;*;Carex ornithopoda (94/119);-267
care_oval;148.3;22.24479693;274.3552031;ns;grey80;NA;Carex ovalis (10/15);-267
care_pall;86.97587719;26.48735079;147.4644036;ns;grey80;NA;Carex pallescens (57/48);-267
care_pani;67.4057971;13.82024747;120.9913467;ns;grey80;NA;Carex panicea (69/64);-267
care_semp;-32.8982739;-75.17909177;9.38254397;ns;grey80;NA;Carex sempervirens (101/113);-267
care_sylv;0.126406927;-52.85028893;53.10310278;ns;grey80;NA;Carex sylvatica (70/66);-267
caru_carv;-12.72222222;-115.6458645;90.20142009;ns;grey80;NA;Carum carvi (18/18);-267
cyno_cris;-33.7237082;-91.95164252;24.50422611;ns;grey80;NA;Cynosurus cristatus (47/70);-267
dact_glom;58.41061374;18.36371609;98.45751138;ns;grey80;NA;Dactylis glomerata (111/128);-267
desc_cesp;58.56296851;-2.399165117;119.5251021;ns;grey80;NA;Deschampsia cespitosa (58/46);-267
drya_octo;-19.92273181;-74.85882864;35.01336502;ns;grey80;NA;Dryas octopetala (68/59);-267
eric_carn;-11.77142857;-82.4394768;58.89661966;ns;grey80;NA;Erica carnea (42/35);-267
fest_nigr;-114.4482759;-195.5354938;-33.36105788;ns;grey80;NA;Festuca nigrescens (29/29);-267
fest_nori;30.28571428;-86.4187264;146.990155;ns;grey80;NA;Festuca norica (14/14);-267
fest_prat;18.68207856;-25.26078962;62.62494674;ns;grey80;NA;Festuca pratensis (104/94);-267
fest_quad;0.332317076;-68.28867413;68.95330828;ns;grey80;NA;Festuca quadriflora (40/41);-267
fest_rubr;4.274439775;-35.83816081;44.38704036;ns;grey80;NA;Festuca rubra (105/136);-267
frag_vesc;-13.82223264;-78.31102966;50.66656438;ns;grey80;NA;Fragaria vesca (52/41);-267
gera_sylv;-4.376838233;-80.42591072;71.67223425;ns;grey80;NA;Geranium sylvaticum (34/32);-267
glob_cord;8.240476191;-88.2320575;104.7130099;ns;grey80;NA;Globularia cordifolia (20/21);-267
heli_alpe;-130.5;-249.4275822;-11.57241783;ns;grey80;NA;Helianthemum alpestre (14/13);-267
heli_numm;21.86509391;-32.02641659;75.7566044;ns;grey80;NA;Helianthemum nummularium (59/74);-267
hipp_como;45.49292149;-24.12554296;115.1113859;ns;grey80;NA;Hippocrepis comosa (37/42);-267
holc_lana;59.01086956;-41.50735191;159.529091;ns;grey80;NA;Holcus lanatus (16/23);-267
lath_prat;24.98412698;-64.85499334;114.8232473;ns;grey80;NA;Lathyrus pratensis (27/21);-267
lotu_corn;65.54097519;32.1389965;98.94295389;signif;black;*;Lotus corniculatus (175/167);-267
nard_stri;-40.68181818;-133.7797555;52.41611916;ns;grey80;NA;Nardus stricta (22/22);-267
orig_vulg;-28.94168735;-111.0536265;53.1702518;ns;grey80;NA;Origanum vulgare (26/31);-267
phle_prat;-38.48529412;-146.0349238;69.06433559;ns;grey80;NA;Phleum pratense (16/17);-267
plan_lanc;25.63432181;-12.58888246;63.85752608;ns;grey80;NA;Plantago lanceolata (123/139);-267
plan_medi;-4.789648907;-62.39532822;52.81603041;ns;grey80;NA;Plantago media (59/56);-267
poa_alpi;-35.21934968;-91.12523669;20.68653733;ns;grey80;NA;Poa alpina (67/56);-267
poa_annu;145.7777778;30.70564743;260.8499081;ns;grey80;NA;Poa annua (12/18);-267
poa_prat;45.11280488;-20.54991344;110.7755232;ns;grey80;NA;Poa pratensis (41/48);-267
poa_triv;-30.6204955;-111.5477554;50.30676445;ns;grey80;NA;Poa trivialis (24/37);-267
pote_aure;32.17298851;-24.68451453;89.03049154;ns;grey80;NA;Potentilla aurea (60/58);-267
pote_erec;15.54259574;-21.18503453;52.27022601;ns;grey80;NA;Potentilla erecta (137/146);-267
prim_elat;52.49428571;-32.46782956;137.456401;ns;grey80;NA;Primula elatior (28/25);-267
rume_acet;-48.78214286;-124.8641299;27.29984418;ns;grey80;NA;Rumex acetosa (28/40);-267
sesl_albi;-40.86860777;-74.09507397;-7.642141564;ns;grey80;NA;Sesleria albicans (180/166);-267
thym_prae;17.26863207;-37.41776276;71.95502691;ns;grey80;NA;Thymus praecox (53/80);-267
thym_pule;-86.39460785;-184.2755742;11.4863585;ns;grey80;NA;Thymus pulegioides (24/17);-267
trif_prat;40.13217768;4.319395423;75.94495994;ns;grey80;NA;Trifolium pratense (142/156);-267
trif_repe;28.22593583;-25.12749809;81.57936975;ns;grey80;NA;Trifolium repens (66/68);-267
vacc_myrt;-27.32037736;-88.19441057;33.55365586;ns;grey80;NA;Vaccinium myrtillus (50/53);-267
vacc_viti;49.60869565;-57.53140691;156.7487982;ns;grey80;NA;Vaccinium vitis-idaea (23/13);-267
vale_saxa;-14.54903475;-87.35513436;58.25706487;ns;grey80;NA;Valeriana saxatilis (37/35);-267
vero_cham;-19.20733333;-57.74283269;19.32816602;ns;grey80;NA;Veronica chamaedrys (132/125);-267
vici_crac;-31.64615385;-161.5220758;98.22976808;ns;grey80;NA;Vicia cracca (13/10);-267
viol_bifl;41.77569392;-4.416885813;87.96827366;ns;grey80;NA;Viola biflora (93/86);-267
