"","spec","melev","no.ind","year"
"2","Aglais_urticae",1626.19622641509,265,"2009"
"3","Anthocharis_cardamines",980.319444444444,72,"2009"
"4","Aphantopus_hyperantus",877.552083333333,96,"2009"
"5","Aporia_crataegi",846.9,20,"2009"
"7","Argynnis_aglaja",1112.08333333333,84,"2009"
"9","Argynnis_paphia",900.846153846154,39,"2009"
"11","Boloria_euphrosyne",1148.52,25,"2009"
"12","Boloria_pales",1825.4,25,"2009"
"14","Boloria_titania",1443.23076923077,13,"2009"
"15","Callophrys_rubi",1381.9,10,"2009"
"16","Carterocephalus_palaemon",968.75,12,"2009"
"18","Coenonympha_gardetta",1304.52380952381,84,"2009"
"19","Coenonympha_pamphilus",824.826923076923,52,"2009"
"22","Cupido_minimus",1217.21276595745,94,"2009"
"23","Cyaniris_semiargus",1173.58823529412,17,"2009"
"24","Erebia_aethiops",953.455,200,"2009"
"26","Erebia_eriphyle",1549.14492753623,69,"2009"
"27","Erebia_euryale",1428.56020942408,191,"2009"
"29","Erebia_ligea",1103.4,30,"2009"
"30","Erebia_manto",1513.56451612903,124,"2009"
"32","Erebia_pandrose",1989.96153846154,26,"2009"
"33","Erebia_pharte",1719.02564102564,117,"2009"
"34","Erebia_pronoe",1436.8778280543,221,"2009"
"35","Erynnis_tages",1093.46153846154,13,"2009"
"39","Lasiommata_maera",1169.20689655172,29,"2009"
"41","Leptidea_sinapis",910.641025641026,39,"2009"
"43","Lycaena_tityrus",915.9,10,"2009"
"44","Maniola_jurtina",706.977777777778,135,"2009"
"45","Melitaea_athalia",860.470588235294,17,"2009"
"49","Papilio_machaon",1045.16,25,"2009"
"53","Pieris_bryoniae",1468.49571183533,583,"2009"
"54","Pieris_rapae",1109.07171314741,251,"2009"
"57","Polyommatus_coridon",1038.42857142857,42,"2009"
"58","Polyommatus_icarus",770.115384615385,26,"2009"
"60","Pyrgus_andromedae",1693.16666666667,24,"2009"
"63","Thymelicus_sylvestris",767.071428571429,42,"2009"
"65","Vanessa_cardui",1426.13552758955,1033,"2009"
"67","Aglais_urticae",1517.74,100,"2019"
"68","Anthocharis_cardamines",1000.48,50,"2019"
"69","Aphantopus_hyperantus",1054.69565217391,46,"2019"
"70","Aporia_crataegi",1002.48484848485,33,"2019"
"73","Argynnis_aglaja",1354.60416666667,48,"2019"
"74","Argynnis_paphia",967.965517241379,29,"2019"
"77","Boloria_euphrosyne",1269.08219178082,73,"2019"
"78","Boloria_pales",1835.88775510204,98,"2019"
"80","Boloria_titania",1344.4,15,"2019"
"82","Callophrys_rubi",1464.11111111111,36,"2019"
"83","Carterocephalus_palaemon",1034.4,15,"2019"
"86","Coenonympha_gardetta",1576.32608695652,46,"2019"
"87","Coenonympha_pamphilus",800.290909090909,55,"2019"
"91","Cupido_minimus",1358.7619047619,21,"2019"
"92","Cyaniris_semiargus",1333.84615384615,13,"2019"
"93","Erebia_aethiops",1102.09523809524,126,"2019"
"95","Erebia_eriphyle",1772.8,15,"2019"
"96","Erebia_euryale",1681.03846153846,78,"2019"
"97","Erebia_ligea",1224.5,18,"2019"
"98","Erebia_manto",1708.44444444444,171,"2019"
"100","Erebia_pandrose",2025.5,14,"2019"
"101","Erebia_pharte",1796.73529411765,34,"2019"
"102","Erebia_pronoe",1537.37931034483,145,"2019"
"103","Erynnis_tages",1076.54838709677,31,"2019"
"108","Lasiommata_maera",1397.66666666667,12,"2019"
"110","Leptidea_sinapis",861.057692307692,52,"2019"
"112","Lycaena_tityrus",1059.39285714286,28,"2019"
"113","Maniola_jurtina",711.738636363636,88,"2019"
"114","Melitaea_athalia",1046.8,15,"2019"
"118","Papilio_machaon",1202.91304347826,23,"2019"
"122","Pieris_bryoniae",1542.33333333333,375,"2019"
"123","Pieris_rapae",991.227272727273,44,"2019"
"125","Polyommatus_coridon",1050.14285714286,21,"2019"
"126","Polyommatus_icarus",824.764705882353,17,"2019"
"128","Pyrgus_andromedae",1431.825,40,"2019"
"131","Thymelicus_sylvestris",763.920634920635,63,"2019"
"133","Vanessa_cardui",1484.3986013986,143,"2019"
