"","abbr","p.value","no","2009","no.sb09","2019","no.sb19","diff","vorzeichen"
"1","aego_poda",0.000863287938224292,1,785.411764705882,17,716,7,-69.4117647058823,"-"
"2","agro_capi",0.00185849437776682,2,1099.32142857143,28,1313.58620689655,58,214.264778325123,"+"
"3","anth_odor",0.0451338977094528,3,1157.09345794393,107,1032.85593220339,118,-124.237525740535,"-"
"4","anth_vuln",0.15625854940154,4,1442.88571428571,70,1553.28358208955,67,110.397867803838,"+"
"5","arab_hirs",0.599126209643913,5,696.5,2,797.833333333333,6,101.333333333333,"+"
"6","arrh_elat",0.59684120706549,6,851.611111111111,36,808.451612903226,31,-43.1594982078852,"-"
"7","bisc_laev",0.816438119109781,7,1555.81927710843,83,1583.56962025316,79,27.750343144731,"+"
"8","brac_pinn",0.403220744342744,8,678.416666666667,12,720.153846153846,13,41.7371794871796,"+"
"9","brac_sylv",0.0101282008961122,9,822.2,20,842.7,10,20.5,"+"
"10","briz_medi",0.0690758110590425,10,1167.92920353982,113,1243.47899159664,119,75.5497880568157,"+"
"11","cala_alpi",0.367134548332908,11,1340.05172413793,58,1405.62295081967,61,65.5712266817411,"+"
"12","cala_vari",0.24969133363478,12,1318.17910447761,67,1234.48979591837,49,-83.6893085592446,"-"
"13","cala_vill",0.732678261375707,13,1710.4,5,1864,3,153.6,"+"
"14","card_defl",0.712401208494066,14,1450.91379310345,58,1480.75,64,29.8362068965516,"+"
"15","care_alba",0.455325584459869,15,897.826086956522,23,861.125,8,-36.7010869565217,"-"
"16","care_atra",0.563702861650773,16,2009.25,4,2017,3,7.75,"+"
"17","care_capi",0.0301469522858734,17,1892.16666666667,6,1151.71428571429,7,-740.452380952381,"-"
"18","care_cary",0.353358483708144,18,941.966101694915,59,978.089285714286,56,36.1231840193705,"+"
"19","care_dava",1,19,1139,1,1546,1,407,"+"
"20","care_digi",0.0193780840986125,20,1487,48,1305.42857142857,14,-181.571428571429,"-"
"21","care_eric",0.0826075503230227,21,1161,4,1024.2,10,-136.8,"-"
"22","care_ferr",0.000113797850564456,22,1456.32061068702,131,1610.30303030303,99,153.982419616007,"+"
"23","care_firm",0.792839427504156,23,1540.46575342466,73,1518.84285714286,70,-21.6228962818004,"-"
"24","care_flac",0.297809702020572,24,1054.55,120,1079.10909090909,110,24.5590909090909,"+"
"25","care_flav",0.2974897290554,25,1204.59090909091,22,1139,30,-65.590909090909,"-"
"26","care_fusc",0.590829904592823,26,1249.09090909091,22,1271.25,16,22.159090909091,"+"
"27","care_host",0.54029137460742,27,866,6,818,4,-48,"-"
"28","care_lepi",0.259231365413962,28,1240,2,1331.5,10,91.5,"+"
"29","care_mont",0.338645793468076,29,676.785714285714,14,678.416666666667,12,1.63095238095229,"+"
"30","care_mucr",0.382918188328238,30,1097.04347826087,23,1034.2380952381,21,-62.8053830227743,"-"
"31","care_orni",0.0907223271105954,31,1442.86170212766,94,1345.9243697479,119,-96.9373323797604,"-"
"32","care_oval",0.0241046471746364,32,1038.5,10,1186.8,15,148.3,"+"
"33","care_pall",0.21590496281705,33,1060.31578947368,57,1147.29166666667,48,86.9758771929826,"+"
"34","care_pani",0.0575769045276997,34,1079.59420289855,69,1147,64,67.4057971014493,"+"
"35","care_semp",0.398720107978149,35,1628.79207920792,101,1595.89380530973,113,-32.8982738981863,"-"
"36","care_sylv",0.852392333706012,36,1003.58571428571,70,1003.71212121212,66,0.126406926406958,"+"
"37","caru_carv",0.573924936421622,37,1136.77777777778,18,1124.05555555556,18,-12.7222222222222,"-"
"38","cirs_arve",0.673490973658833,38,975.1875,16,828,1,-147.1875,"-"
"39","cyno_cris",0.831797066170549,39,1101.68085106383,47,1067.95714285714,70,-33.723708206687,"-"
"40","dact_glom",0.16991011121119,40,1003.26126126126,111,1061.671875,128,58.4106137387388,"+"
"41","dant_decu",0.288844366346485,41,820,5,872.8,10,52.8,"+"
"42","desc_cesp",0.545468594396571,42,1427.24137931034,58,1485.80434782609,46,58.5629685157421,"+"
"43","drya_octo",0.895302964721169,43,1614.61764705882,68,1594.69491525424,59,-19.9227318045862,"-"
"44","eric_carn",0.690305949295779,44,1186.71428571429,42,1174.94285714286,35,-11.7714285714287,"-"
"45","fest_alpi",NA,45,1821,1,1821,2,0,"0"
"46","fest_nigr",0.112429663906033,46,1353.41379310345,29,1238.96551724138,29,-114.448275862069,"-"
"47","fest_nori",0.469548243413913,47,1880.71428571429,14,1911,14,30.2857142857142,"+"
"48","fest_prat",0.398488608458349,48,983.711538461538,104,1002.39361702128,94,18.6820785597381,"+"
"49","fest_quad",0.869930293981314,49,1930.375,40,1930.70731707317,41,0.332317073170771,"+"
"50","fest_rubr",0.826351455150222,50,1075.24761904762,105,1079.52205882353,136,4.27443977591042,"+"
"51","fest_rupr",0.133614402537716,51,716,1,1488.4,10,772.4,"+"
"52","frag_vesc",0.990629877435302,52,1094.48076923077,52,1080.65853658537,41,-13.8222326454033,"-"
