genus_species;mean;left95;right95;signcol;signlvl;signpos
Aglais urticae (265/100);-108.4562264;-143.8259588;-73.086494;signif;**;-350
Anthocharis cardamines (72/50);20.16055556;-35.31950723;75.64061835;ns;NA;-350
Aphantopus hyperantus (96/46);177.1435688;123.1007593;231.1863784;signif;**;-350
Aporia crataegi (20/33);155.5848485;70.18162837;240.9880686;ns;NA;-350
Argynnis aglaja (84/48);242.5208333;187.990898;297.0507687;signif;***;-350
Argynnis paphia (39/29);67.1193634;-6.778423598;141.0171504;ns;NA;-350
Boloria euphrosyne (25/73);120.5621918;50.72449913;190.3998844;ns;NA;-350
Boloria pales (25/98);10.4877551;-57.03929724;78.01480744;alpns;NA;-350
Boloria titania (13/15);-98.83076923;-213.0317908;15.37025237;ns;NA;-350
Callophrys rubi (10/36);82.21111111;-25.51871142;189.9409336;ns;NA;-350
Carterocephalus palaemon (12/15);65.65;-51.0723193;182.3723193;ns;NA;-350
Coenonympha gardetta (84/46);271.8022774;216.5231224;327.0814325;alpsignif;***;-350
Coenonympha pamphilus (52/55);-24.53601398;-82.82911395;33.75708598;ns;NA;-350
Cupido minimus (94/21);141.5491388;68.80740891;214.2908687;ns;NA;-350
Cyaniris semiargus (17/13);160.2579186;49.21962741;271.2962097;ns;NA;-350
Erebia aethiops (200/126);148.6402381;114.3621328;182.9183434;signif;***;-350
Erebia eriphyle (69/15);223.6550725;137.7976696;309.5124753;alpsignif;**;-350
Erebia euryale (191/78);252.4782521;211.9814776;292.9750266;alpsignif;***;-350
Erebia ligea (30/18);121.1;31.24711672;210.9528833;ns;NA;-350
Erebia manto (124/171);194.8799283;159.3323198;230.4275369;alpsignif;***;-350
Erebia pandrose (26/14);35.53846153;-64.36662097;135.443544;alpns;NA;-350
Erebia pharte (117/34);77.70965309;18.99258482;136.4267214;alpns;NA;-350
Erebia pronoe (221/145);100.5014823;68.29311696;132.7098476;alpsignif;**;-350
Erynnis tages (13/31);-16.91315136;-116.4954379;82.6691352;ns;NA;-350
Lasiommata maera (29/12);228.4597701;125.0145125;331.9050277;alpsignif;*;-350
Leptidea sinapis agg. (39/52);-49.58333333;-113.4236452;14.25697851;ns;NA;-350
Lycaena tityrus (10/28);143.4928571;32.46778563;254.5179287;ns;NA;-350
Maniola jurtina (135/88);4.760858585;-36.52986467;46.05158184;ns;NA;-350
Melitaea athalia (17/15);186.3294118;79.56827782;293.0905457;ns;NA;-350
Papilio machaon (25/23);157.7530435;70.6777443;244.8283427;ns;NA;-350
Pieris bryoniae agg. (583/375);73.8376215;53.88770316;93.78753983;alpsignif;***;-350
Pieris rapae (251/44);-117.8444404;-167.1000942;-68.58878663;signif;*;-350
Polyommatus coridon (42/21);11.71428571;-68.83176684;92.26033827;ns;NA;-350
Polyommatus icarus (26/17);54.64932127;-39.35144029;148.6500828;ns;NA;-350
Pyrgus andromedae (24/40);-261.3416667;-339.1565462;-183.5267871;alpsignif;***;-350
Thymelicus sylvestris (42/63);-3.150793651;-63.18627659;56.88468929;ns;NA;-350
Vanessa cardui (1033/143);58.26307381;31.37289065;85.15325697;signif;*;-350
