abbr;species name
aego_poda;Aegopodium podagraria
agro_capi;Agrostis capillaris
anth_odor;Anthoxanthum odoratum
anth_vuln;Anthyllis vulneraria
arab_hirs;Arabis hirsuta
arrh_elat;Arrhenatherum elatius
bisc_laev;Biscutella laevigata
brac_pinn;Brachypodium pinnatum
brac_sylv;Brachypodium sylvaticum
briz_medi;Briza media
cala_alpi;Acinos alpinus
cala_vari;Calamagrostis varia
cala_vill;Calamagrostis villosa
card_defl;Carduus defloratus
care_alba;Carex alba
care_atra;Carex atrata
care_capi;Carex capillaris
care_cary;Carex caryophyllea
care_dava;Carex davalliana
care_digi;Carex digitata
care_eric;Carex ericetorum
care_ferr;Carex ferruginea
care_firm;Carex firma
care_flac;Carex flacca
care_flav;Carex flava
care_fusc;Carex fusca
care_host;Carex hostiana
care_lepi;Carex lepidocarpa
care_mont;Carex montana
care_mucr;Carex mucronata
care_orni;Carex ornithopoda
care_oval;Carex ovalis
care_pall;Carex pallescens
care_pani;Carex panicea
care_semp;Carex sempervirens
care_sylv;Carex sylvatica
caru_carv;Carum carvi
cirs_arve;Cirsium arvense
cyno_cris;Cynosurus cristatus
dact_glom;Dactylis glomerata
dant_decu;Danthonia decumbens
desc_cesp;Deschampsia cespitosa
drya_octo;Dryas octopetala
eric_carn;Erica carnea
fest_alpi;Festuca alpina
fest_nigr;Festuca nigrescens
fest_nori;Festuca norica
fest_prat;Festuca pratensis
fest_quad;Festuca quadriflora
fest_rubr;Festuca rubra
fest_rupr;Festuca rupicaprina
frag_vesc;Fragaria vesca
fran_alnu;Frangula alnus
gera_robe;Geranium robertianum
gera_sylv;Geranium sylvaticum
glob_cord;Globularia cordifolia
heli_alpe;Helianthemum alpestre
heli_numm;Helianthemum nummularium
hipp_como;Hippocrepis comosa
holc_lana;Holcus lanatus
lath_prat;Lathyrus pratensis
loli_pere;Lolium perenne
lotu_corn;Lotus corniculatus
medi_lupu;Medicago lupulina
mela_sylv;Melampyrum sylvaticum
meli_nuta;Melica nutans
moli_arun;Molinia arundinacea
moli_caer;Molinia caerulea
nard_stri;Nardus stricta
orig_vulg;Origanum vulgare
phle_prat;Phleum pratense
pimp_saxi;Pimpinella saxifraga
plan_atra;Plantago atrata
plan_lanc;Plantago lanceolata
plan_medi;Plantago media
poa_alpi;Poa alpina
poa_annu;Poa annua
poa_nemo;Poa nemoralis
poa_prat;Poa pratensis
poa_triv;Poa trivialis
pote_aure;Potentilla aurea
pote_brau;Potentilla brauneana
pote_erec;Potentilla erecta
pote_rept;Potentilla reptans
prim_elat;Primula elatior
prim_veri;Primula veris
rhin_alec;Rhinanthus alectorolophus
rubu_idae;Rubus idaeus
rubu_saxa;Rubus saxatilis
rume_acet;Rumex acetosa
sang_mino;Sanguisorba minor
sesl_albi;Sesleria albicans
sorb_aucu;Sorbus aucuparia
thym_prae;Thymus praecox
thym_pule;Thymus pulegioides
trif_medi;Trifolium medium
trif_mont;Trifolium montanum
trif_prat;Trifolium pratense
trif_repe;Trifolium repens
urti_dioi;Urtica dioica
vacc_myrt;Vaccinium myrtillus
vacc_ulig;Vaccinium uliginosum
vacc_viti;Vaccinium vitis-idaea
vale_mont;Valeriana montana
vale_saxa;Valeriana saxatilis
vale_trip;Valeriana tripteris
vero_arve;Veronica arvensis
vero_cham;Veronica chamaedrys
vici_crac;Vicia cracca
viol_bifl;Viola biflora
viol_coll;Viola collina
viol_hirt;Viola hirta
viol_reic;Viola reichenbachiana
