"","abbr","melev","no.sb","year"
"14","agro_capi",1099.32142857143,28,"2009"
"31","anth_odor",1157.09345794393,107,"2009"
"34","anth_vuln",1442.88571428571,70,"2009"
"45","arrh_elat",851.611111111111,36,"2009"
"56","bisc_laev",1555.81927710843,83,"2009"
"59","brac_pinn",678.416666666667,12,"2009"
"61","brac_sylv",822.2,20,"2009"
"62","briz_medi",1167.92920353982,113,"2009"
"64","cala_alpi",1340.05172413793,58,"2009"
"65","cala_vari",1318.17910447761,67,"2009"
"75","card_defl",1450.91379310345,58,"2009"
"81","care_cary",941.966101694915,59,"2009"
"83","care_digi",1487,48,"2009"
"86","care_ferr",1456.32061068702,131,"2009"
"87","care_firm",1540.46575342466,73,"2009"
"88","care_flac",1054.55,120,"2009"
"89","care_flav",1204.59090909091,22,"2009"
"90","care_fusc",1249.09090909091,22,"2009"
"93","care_mont",676.785714285714,14,"2009"
"94","care_mucr",1097.04347826087,23,"2009"
"95","care_orni",1442.86170212766,94,"2009"
"96","care_oval",1038.5,10,"2009"
"97","care_pall",1060.31578947368,57,"2009"
"98","care_pani",1079.59420289855,69,"2009"
"99","care_semp",1628.79207920792,101,"2009"
"100","care_sylv",1003.58571428571,70,"2009"
"102","caru_carv",1136.77777777778,18,"2009"
"128","cyno_cris",1101.68085106383,47,"2009"
"130","dact_glom",1003.26126126126,111,"2009"
"137","desc_cesp",1427.24137931034,58,"2009"
"140","drya_octo",1614.61764705882,68,"2009"
"150","eric_carn",1186.71428571429,42,"2009"
"157","fest_nigr",1353.41379310345,29,"2009"
"158","fest_nori",1880.71428571429,14,"2009"
"159","fest_prat",983.711538461538,104,"2009"
"160","fest_quad",1930.375,40,"2009"
"161","fest_rubr",1075.24761904762,105,"2009"
"164","frag_vesc",1094.48076923077,52,"2009"
"182","gera_sylv",1547.97058823529,34,"2009"
"185","glob_cord",1023.95,20,"2009"
"194","heli_alpe",2001.5,14,"2009"
"195","heli_numm",1576.93220338983,59,"2009"
"208","hipp_como",1157.45945945946,37,"2009"
"209","holc_lana",715.25,16,"2009"
"226","lath_prat",709.444444444444,27,"2009"
"240","lotu_corn",1256.54285714286,175,"2009"
"267","nard_stri",1452.40909090909,22,"2009"
"271","orig_vulg",966.038461538462,26,"2009"
"280","phle_prat",1104.25,16,"2009"
"291","plan_lanc",1021.92682926829,123,"2009"
"293","plan_medi",1142.59322033898,59,"2009"
"295","poa_alpi",1580.70149253731,67,"2009"
"296","poa_annu",958.5,12,"2009"
"298","poa_prat",993.512195121951,41,"2009"
"299","poa_triv",1015.45833333333,24,"2009"
"310","pote_aure",1626.51666666667,60,"2009"
"312","pote_erec",1246.64233576642,137,"2009"
"316","prim_elat",952.785714285714,28,"2009"
"340","rume_acet",967.607142857143,28,"2009"
"366","sesl_albi",1468.77222222222,180,"2009"
"390","thym_prae",1308.01886792453,53,"2009"
"391","thym_pule",977.041666666667,24,"2009"
"398","trif_prat",1120.5985915493,142,"2009"
"399","trif_repe",981.818181818182,66,"2009"
"404","vacc_myrt",1616.66,50,"2009"
"406","vacc_viti",1828.39130434783,23,"2009"
"409","vale_saxa",1231.89189189189,37,"2009"
"415","vero_cham",1129.58333333333,132,"2009"
"421","vici_crac",763.846153846154,13,"2009"
"424","viol_bifl",1621.38709677419,93,"2009"
"442","agro_capi",1313.58620689655,58,"2019"
"458","anth_odor",1032.85593220339,118,"2019"
"461","anth_vuln",1553.28358208955,67,"2019"
"469","arrh_elat",808.451612903226,31,"2019"
